basin,cyclone_id,lon,lat,timestamp,wind_kt,size_nmi,pressure_hpa,h5_index,datetime
ATLN,200301L,-37.0,32.6,2003042609,35.0,0.0,1002.0,34,2003-04-26 09:00:00
ATLN,200301L,-35.6,32.9,2003042612,35.0,0.0,1002.0,35,2003-04-26 12:00:00
ATLN,200301L,-34.2,33.3,2003042615,38.0,0.0,1002.0,36,2003-04-26 15:00:00
ATLN,200301L,-32.8,33.6,2003042618,40.0,0.0,1002.0,37,2003-04-26 18:00:00
ATLN,200301L,-24.1,35.7,2003042709,40.0,0.0,1000.0,38,2003-04-27 09:00:00
ATLN,200301L,-22.4,36.1,2003042712,40.0,0.0,1000.0,39,2003-04-27 12:00:00
WPAC,200301W,179.0,1.9,2003011118,15.0,0.0,1006.0,6077,2003-01-11 18:00:00
WPAC,200301W,178.8,1.9,2003011121,15.0,0.0,1006.0,6078,2003-01-11 21:00:00
WPAC,200301W,178.5,1.8,2003011200,15.0,0.0,1006.0,6079,2003-01-12 00:00:00
WPAC,200301W,178.2,1.7,2003011203,15.0,0.0,1006.0,6080,2003-01-12 03:00:00
WPAC,200301W,178.0,1.6,2003011206,15.0,0.0,1006.0,6081,2003-01-12 06:00:00
WPAC,200301W,177.2,1.6,2003011218,15.0,0.0,1006.0,6082,2003-01-12 18:00:00
WPAC,200301W,177.0,1.8,2003011221,15.0,0.0,1006.0,6083,2003-01-12 21:00:00
WPAC,200301W,176.8,1.9,2003011300,15.0,0.0,1006.0,6084,2003-01-13 00:00:00
WPAC,200301W,176.5,2.1,2003011303,15.0,0.0,1006.0,6085,2003-01-13 03:00:00
WPAC,200301W,176.2,2.4,2003011306,15.0,0.0,1006.0,6086,2003-01-13 06:00:00
WPAC,200301W,172.4,4.6,2003011321,23.0,0.0,1003.0,6087,2003-01-13 21:00:00
WPAC,200301W,171.5,5.1,2003011400,25.0,0.0,1002.0,6088,2003-01-14 00:00:00
WPAC,200301W,170.6,5.4,2003011403,25.0,0.0,1002.0,6089,2003-01-14 03:00:00
WPAC,200301W,169.7,5.7,2003011406,25.0,0.0,1002.0,6090,2003-01-14 06:00:00
WPAC,200301W,166.2,5.5,2003011421,25.0,0.0,1002.0,6091,2003-01-14 21:00:00
WPAC,200301W,165.6,5.4,2003011500,25.0,0.0,1002.0,6092,2003-01-15 00:00:00
WPAC,200301W,164.8,5.7,2003011503,25.0,0.0,1003.0,6093,2003-01-15 03:00:00
WPAC,200301W,164.1,6.0,2003011506,25.0,0.0,1004.0,6094,2003-01-15 06:00:00
WPAC,200301W,160.0,7.6,2003011521,30.0,0.0,1000.0,6095,2003-01-15 21:00:00
WPAC,200301W,159.2,7.9,2003011600,30.0,0.0,1000.0,6096,2003-01-16 00:00:00
WPAC,200301W,158.5,8.2,2003011603,30.0,0.0,1000.0,6097,2003-01-16 03:00:00
WPAC,200301W,157.8,8.5,2003011606,30.0,0.0,1000.0,6098,2003-01-16 06:00:00
WPAC,200301W,153.8,9.7,2003011621,33.0,41.2,999.0,6099,2003-01-16 21:00:00
WPAC,200301W,153.0,10.0,2003011700,35.0,82.5,997.0,6100,2003-01-17 00:00:00
WPAC,200301W,152.2,10.4,2003011703,35.0,82.5,997.0,6101,2003-01-17 03:00:00
WPAC,200301W,151.4,10.9,2003011706,35.0,82.5,997.0,6102,2003-01-17 06:00:00
WPAC,200301W,147.9,12.8,2003011721,38.0,41.2,996.0,6103,2003-01-17 21:00:00
WPAC,200301W,147.4,13.2,2003011800,40.0,82.5,994.0,6104,2003-01-18 00:00:00
WPAC,200301W,147.1,13.4,2003011803,43.0,82.5,993.0,6105,2003-01-18 03:00:00
WPAC,200301W,146.7,13.7,2003011806,45.0,82.5,991.0,6106,2003-01-18 06:00:00
WPAC,200301W,147.8,14.4,2003011821,50.0,80.0,987.0,6107,2003-01-18 21:00:00
WPAC,200301W,148.2,14.5,2003011900,50.0,80.0,987.0,6108,2003-01-19 00:00:00
WPAC,200301W,148.6,14.7,2003011903,48.0,80.0,989.0,6109,2003-01-19 03:00:00
WPAC,200301W,149.0,14.8,2003011906,45.0,80.0,991.0,6110,2003-01-19 06:00:00
WPAC,200301W,151.4,16.4,2003011921,40.0,71.2,994.0,6111,2003-01-19 21:00:00
WPAC,200301W,152.0,16.7,2003012000,40.0,62.5,994.0,6112,2003-01-20 00:00:00
WPAC,200301W,152.7,16.9,2003012003,38.0,62.5,996.0,6113,2003-01-20 03:00:00
WPAC,200301W,153.4,17.2,2003012006,35.0,62.5,997.0,6114,2003-01-20 06:00:00
WPAC,200301W,156.1,18.1,2003012021,28.0,0.0,1001.0,6115,2003-01-20 21:00:00
WPAC,200301W,156.3,18.2,2003012100,25.0,0.0,1002.0,6116,2003-01-21 00:00:00
WPAC,200301W,156.4,18.3,2003012103,23.0,0.0,1003.0,6117,2003-01-21 03:00:00
WPAC,200301W,156.6,18.4,2003012106,20.0,0.0,1004.0,6118,2003-01-21 06:00:00
EPAC,200302E,-103.2,15.9,2003061700,25.0,0.0,1007.0,3601,2003-06-17 00:00:00
EPAC,200302E,-103.5,16.4,2003061715,33.0,0.0,1003.0,3602,2003-06-17 15:00:00
EPAC,200302E,-103.5,16.5,2003061718,35.0,0.0,1001.0,3603,2003-06-17 18:00:00
EPAC,200302E,-103.6,16.6,2003061721,40.0,0.0,1001.0,3604,2003-06-17 21:00:00
EPAC,200302E,-103.6,16.6,2003061800,45.0,0.0,1000.0,3605,2003-06-18 00:00:00
EPAC,200302E,-104.2,16.7,2003061815,48.0,0.0,999.0,3606,2003-06-18 15:00:00
EPAC,200302E,-104.3,16.7,2003061818,50.0,0.0,997.0,3607,2003-06-18 18:00:00
EPAC,200302E,-104.4,16.6,2003061821,48.0,0.0,998.0,3608,2003-06-18 21:00:00
EPAC,200302E,-104.5,16.6,2003061900,45.0,0.0,998.0,3609,2003-06-19 00:00:00
EPAC,200302E,-104.8,16.3,2003061915,45.0,0.0,1000.0,3610,2003-06-19 15:00:00
EPAC,200302E,-104.9,16.1,2003061918,45.0,0.0,1000.0,3611,2003-06-19 18:00:00
EPAC,200302E,-105.0,16.0,2003061921,43.0,0.0,1001.0,3612,2003-06-19 21:00:00
EPAC,200302E,-105.1,15.9,2003062000,40.0,0.0,1002.0,3613,2003-06-20 00:00:00
EPAC,200302E,-105.8,15.6,2003062015,33.0,0.0,1005.0,3614,2003-06-20 15:00:00
EPAC,200302E,-106.0,15.5,2003062018,30.0,0.0,1006.0,3615,2003-06-20 18:00:00
EPAC,200302E,-106.2,15.4,2003062021,28.0,0.0,1006.0,3616,2003-06-20 21:00:00
EPAC,200302E,-106.3,15.3,2003062100,25.0,0.0,1006.0,3617,2003-06-21 00:00:00
EPAC,200302E,-106.1,15.5,2003062115,25.0,0.0,1008.0,3618,2003-06-21 15:00:00
EPAC,200302E,-106.0,15.5,2003062118,25.0,0.0,1008.0,3619,2003-06-21 18:00:00
EPAC,200302E,-105.8,15.6,2003062121,25.0,0.0,1009.0,3620,2003-06-21 21:00:00
EPAC,200302E,-105.7,15.6,2003062200,25.0,0.0,1009.0,3621,2003-06-22 00:00:00
EPAC,200302E,-104.7,15.9,2003062215,20.0,0.0,1009.0,3622,2003-06-22 15:00:00
EPAC,200302E,-104.5,15.9,2003062218,20.0,0.0,1009.0,3623,2003-06-22 18:00:00
EPAC,200302E,-104.3,15.9,2003062221,20.0,0.0,1009.0,3624,2003-06-22 21:00:00
EPAC,200302E,-104.1,16.0,2003062300,20.0,0.0,1009.0,3625,2003-06-23 00:00:00
EPAC,200302E,-103.8,16.3,2003062315,20.0,0.0,1009.0,3626,2003-06-23 15:00:00
EPAC,200302E,-103.7,16.4,2003062318,20.0,0.0,1009.0,3627,2003-06-23 18:00:00
EPAC,200302E,-103.7,16.5,2003062321,20.0,0.0,1009.0,3628,2003-06-23 21:00:00
EPAC,200302E,-103.6,16.6,2003062400,20.0,0.0,1009.0,3629,2003-06-24 00:00:00
ATLN,200302L,-43.4,9.6,2003061109,30.0,0.0,1008.0,40,2003-06-11 09:00:00
ATLN,200302L,-44.2,9.7,2003061112,30.0,0.0,1008.0,41,2003-06-11 12:00:00
ATLN,200302L,-45.0,9.7,2003061115,30.0,0.0,1009.0,42,2003-06-11 15:00:00
ATLN,200302L,-45.9,9.7,2003061118,30.0,0.0,1010.0,43,2003-06-11 18:00:00
WPAC,200302W,160.1,3.5,2003040821,28.0,0.0,1001.0,6119,2003-04-08 21:00:00
WPAC,200302W,160.2,3.7,2003040900,30.0,0.0,1000.0,6120,2003-04-09 00:00:00
WPAC,200302W,160.3,3.9,2003040903,33.0,0.0,999.0,6121,2003-04-09 03:00:00
WPAC,200302W,160.4,4.1,2003040906,35.0,0.0,997.0,6122,2003-04-09 06:00:00
WPAC,200302W,160.5,6.0,2003040921,38.0,100.0,996.0,6123,2003-04-09 21:00:00
WPAC,200302W,160.4,6.5,2003041000,40.0,100.0,994.0,6124,2003-04-10 00:00:00
WPAC,200302W,160.1,7.0,2003041003,40.0,100.0,994.0,6125,2003-04-10 03:00:00
WPAC,200302W,159.7,7.5,2003041006,40.0,100.0,994.0,6126,2003-04-10 06:00:00
WPAC,200302W,157.9,8.8,2003041021,40.0,91.2,994.0,6127,2003-04-10 21:00:00
WPAC,200302W,157.6,9.1,2003041100,40.0,91.2,994.0,6128,2003-04-11 00:00:00
WPAC,200302W,157.2,9.3,2003041103,40.0,91.2,994.0,6129,2003-04-11 03:00:00
WPAC,200302W,156.8,9.6,2003041106,40.0,91.2,994.0,6130,2003-04-11 06:00:00
WPAC,200302W,154.8,10.2,2003041121,53.0,89.4,986.0,6131,2003-04-11 21:00:00
WPAC,200302W,154.3,10.2,2003041200,55.0,87.5,984.0,6132,2003-04-12 00:00:00
WPAC,200302W,153.9,10.2,2003041203,55.0,87.5,984.0,6133,2003-04-12 03:00:00
WPAC,200302W,153.4,10.2,2003041206,55.0,87.5,984.0,6134,2003-04-12 06:00:00
WPAC,200302W,151.1,10.1,2003041221,65.0,112.5,976.0,6135,2003-04-12 21:00:00
WPAC,200302W,150.7,10.1,2003041300,65.0,112.5,976.0,6136,2003-04-13 00:00:00
WPAC,200302W,150.2,10.1,2003041303,65.0,112.5,976.0,6137,2003-04-13 03:00:00
WPAC,200302W,149.8,10.2,2003041306,65.0,112.5,976.0,6138,2003-04-13 06:00:00
WPAC,200302W,147.8,10.4,2003041321,83.0,112.5,961.0,6139,2003-04-13 21:00:00
WPAC,200302W,147.3,10.4,2003041400,90.0,112.5,954.0,6140,2003-04-14 00:00:00
WPAC,200302W,146.8,10.5,2003041403,95.0,112.5,949.0,6141,2003-04-14 03:00:00
WPAC,200302W,146.3,10.6,2003041406,100.0,112.5,944.0,6142,2003-04-14 06:00:00
WPAC,200302W,145.8,10.6,2003041409,105.0,112.5,939.0,6143,2003-04-14 09:00:00
WPAC,200302W,143.2,11.2,2003041421,123.0,125.0,919.0,6144,2003-04-14 21:00:00
WPAC,200302W,142.5,11.4,2003041500,125.0,135.0,916.0,6145,2003-04-15 00:00:00
WPAC,200302W,141.8,11.7,2003041503,125.0,133.8,916.0,6146,2003-04-15 03:00:00
WPAC,200302W,141.1,11.9,2003041506,125.0,132.5,916.0,6147,2003-04-15 06:00:00
WPAC,200302W,140.3,12.1,2003041509,125.0,132.5,916.0,6148,2003-04-15 09:00:00
WPAC,200302W,137.7,12.8,2003041521,133.0,132.5,907.0,6149,2003-04-15 21:00:00
WPAC,200302W,137.0,13.0,2003041600,135.0,132.5,904.0,6150,2003-04-16 00:00:00
WPAC,200302W,136.6,13.2,2003041603,135.0,132.5,904.0,6151,2003-04-16 03:00:00
WPAC,200302W,136.1,13.4,2003041606,135.0,132.5,904.0,6152,2003-04-16 06:00:00
WPAC,200302W,135.6,13.6,2003041609,133.0,132.5,907.0,6153,2003-04-16 09:00:00
WPAC,200302W,134.0,14.0,2003041621,115.0,125.0,933.0,6154,2003-04-16 21:00:00
WPAC,200302W,133.6,14.0,2003041700,115.0,125.0,938.0,6155,2003-04-17 00:00:00
WPAC,200302W,133.2,13.8,2003041703,113.0,125.0,938.0,6156,2003-04-17 03:00:00
WPAC,200302W,132.8,13.7,2003041706,110.0,125.0,938.0,6157,2003-04-17 06:00:00
WPAC,200302W,132.4,13.6,2003041709,108.0,125.0,938.0,6158,2003-04-17 09:00:00
WPAC,200302W,130.9,13.5,2003041721,110.0,125.0,933.0,6159,2003-04-17 21:00:00
WPAC,200302W,130.6,13.5,2003041800,115.0,125.0,927.0,6160,2003-04-18 00:00:00
WPAC,200302W,130.3,13.5,2003041803,120.0,125.0,922.0,6161,2003-04-18 03:00:00
WPAC,200302W,130.0,13.5,2003041806,125.0,125.0,916.0,6162,2003-04-18 06:00:00
WPAC,200302W,129.8,13.6,2003041809,125.0,130.0,916.0,6163,2003-04-18 09:00:00
WPAC,200302W,128.7,14.2,2003041900,115.0,135.0,927.0,6164,2003-04-19 00:00:00
WPAC,200302W,128.5,14.4,2003041903,110.0,135.0,933.0,6165,2003-04-19 03:00:00
WPAC,200302W,128.3,14.7,2003041906,105.0,135.0,938.0,6166,2003-04-19 06:00:00
WPAC,200302W,128.1,14.9,2003041909,100.0,133.1,944.0,6167,2003-04-19 09:00:00
WPAC,200302W,126.6,16.2,2003042000,85.0,132.5,958.0,6168,2003-04-20 00:00:00
WPAC,200302W,126.3,16.4,2003042003,90.0,132.5,954.0,6169,2003-04-20 03:00:00
WPAC,200302W,126.1,16.7,2003042006,95.0,132.5,949.0,6170,2003-04-20 06:00:00
WPAC,200302W,125.8,16.9,2003042009,98.0,132.5,947.0,6171,2003-04-20 09:00:00
WPAC,200302W,124.6,18.4,2003042100,100.0,120.0,944.0,6172,2003-04-21 00:00:00
WPAC,200302W,124.4,18.5,2003042103,98.0,120.0,947.0,6173,2003-04-21 03:00:00
WPAC,200302W,124.3,18.7,2003042106,95.0,120.0,949.0,6174,2003-04-21 06:00:00
WPAC,200302W,124.3,18.9,2003042109,90.0,115.0,954.0,6175,2003-04-21 09:00:00
WPAC,200302W,123.5,19.9,2003042200,55.0,110.0,984.0,6176,2003-04-22 00:00:00
WPAC,200302W,123.3,20.1,2003042203,53.0,105.0,986.0,6177,2003-04-22 03:00:00
WPAC,200302W,123.2,20.3,2003042206,50.0,100.0,987.0,6178,2003-04-22 06:00:00
WPAC,200302W,123.2,20.5,2003042209,48.0,98.8,989.0,6179,2003-04-22 09:00:00
WPAC,200302W,122.5,20.8,2003042300,35.0,97.5,997.0,6180,2003-04-23 00:00:00
WPAC,200302W,122.5,20.9,2003042303,35.0,88.8,997.0,6181,2003-04-23 03:00:00
WPAC,200302W,122.4,20.9,2003042306,35.0,80.0,997.0,6182,2003-04-23 06:00:00
WPAC,200302W,122.4,21.0,2003042309,35.0,86.2,997.0,6183,2003-04-23 09:00:00
WPAC,200302W,122.8,22.1,2003042400,35.0,0.0,997.0,6184,2003-04-24 00:00:00
WPAC,200302W,123.0,22.6,2003042403,35.0,0.0,997.0,6185,2003-04-24 03:00:00
WPAC,200302W,123.2,23.0,2003042406,35.0,0.0,997.0,6186,2003-04-24 06:00:00
WPAC,200302W,123.6,23.9,2003042409,35.0,0.0,997.0,6187,2003-04-24 09:00:00
WPAC,200302W,126.3,27.9,2003042421,35.0,0.0,997.0,6188,2003-04-24 21:00:00
WPAC,200302W,127.3,29.0,2003042500,35.0,0.0,997.0,6189,2003-04-25 00:00:00
WPAC,200302W,128.7,30.6,2003042503,33.0,0.0,999.0,6190,2003-04-25 03:00:00
WPAC,200302W,130.1,32.1,2003042506,30.0,0.0,1000.0,6191,2003-04-25 06:00:00
EPAC,200303E,-97.2,13.9,2003062600,25.0,0.0,1007.0,3630,2003-06-26 00:00:00
EPAC,200303E,-97.5,14.9,2003062615,40.0,0.0,1001.0,3631,2003-06-26 15:00:00
EPAC,200303E,-97.3,15.0,2003062618,45.0,0.0,998.0,3632,2003-06-26 18:00:00
EPAC,200303E,-97.4,15.4,2003062621,50.0,0.0,997.0,3633,2003-06-26 21:00:00
EPAC,200303E,-97.6,15.7,2003062700,55.0,0.0,996.0,3634,2003-06-27 00:00:00
EPAC,200303E,-98.9,16.6,2003062715,28.0,0.0,1003.0,3635,2003-06-27 15:00:00
EPAC,200303E,-99.3,16.7,2003062718,25.0,0.0,1005.0,3636,2003-06-27 18:00:00
EPAC,200303E,-99.6,16.6,2003062721,25.0,0.0,1007.0,3637,2003-06-27 21:00:00
EPAC,200303E,-99.9,16.6,2003062800,25.0,0.0,1008.0,3638,2003-06-28 00:00:00
EPAC,200303E,-101.5,15.9,2003062815,25.0,0.0,1008.0,3639,2003-06-28 15:00:00
EPAC,200303E,-101.8,15.7,2003062818,25.0,0.0,1008.0,3640,2003-06-28 18:00:00
ATLN,200303L,-89.3,20.0,2003062812,20.0,0.0,1008.0,44,2003-06-28 12:00:00
ATLN,200303L,-89.3,20.1,2003062815,20.0,0.0,1008.0,45,2003-06-28 15:00:00
ATLN,200303L,-89.4,20.3,2003062818,20.0,0.0,1008.0,46,2003-06-28 18:00:00
ATLN,200303L,-89.6,20.6,2003062821,20.0,0.0,1008.0,47,2003-06-28 21:00:00
ATLN,200303L,-89.8,21.0,2003062900,20.0,0.0,1008.0,48,2003-06-29 00:00:00
ATLN,200303L,-90.5,23.4,2003062912,35.0,0.0,1007.0,49,2003-06-29 12:00:00
ATLN,200303L,-90.8,24.0,2003062915,38.0,0.0,1008.0,50,2003-06-29 15:00:00
ATLN,200303L,-91.1,24.6,2003062918,40.0,0.0,1009.0,51,2003-06-29 18:00:00
ATLN,200303L,-91.2,25.3,2003062921,43.0,0.0,1009.0,52,2003-06-29 21:00:00
ATLN,200303L,-91.3,25.9,2003063000,45.0,0.0,1008.0,53,2003-06-30 00:00:00
ATLN,200303L,-91.5,28.2,2003063012,50.0,0.0,1002.0,54,2003-06-30 12:00:00
ATLN,200303L,-91.3,28.6,2003063015,50.0,0.0,1000.0,55,2003-06-30 15:00:00
ATLN,200303L,-91.0,29.1,2003063018,50.0,0.0,997.0,56,2003-06-30 18:00:00
ATLN,200303L,-90.7,29.8,2003063021,48.0,0.0,998.0,57,2003-06-30 21:00:00
ATLN,200303L,-90.3,30.4,2003070100,45.0,0.0,998.0,58,2003-07-01 00:00:00
ATLN,200303L,-88.4,32.7,2003070112,25.0,0.0,1004.0,59,2003-07-01 12:00:00
ATLN,200303L,-87.7,33.2,2003070115,23.0,0.0,1006.0,60,2003-07-01 15:00:00
ATLN,200303L,-87.0,33.6,2003070118,20.0,0.0,1007.0,61,2003-07-01 18:00:00
ATLN,200303L,-86.5,33.9,2003070121,20.0,0.0,1007.0,62,2003-07-01 21:00:00
ATLN,200303L,-86.0,34.1,2003070200,20.0,0.0,1007.0,63,2003-07-02 00:00:00
ATLN,200303L,-83.5,35.6,2003070212,20.0,0.0,1009.0,64,2003-07-02 12:00:00
ATLN,200303L,-82.8,36.0,2003070215,20.0,0.0,1009.0,65,2003-07-02 15:00:00
ATLN,200303L,-82.0,36.5,2003070218,20.0,0.0,1009.0,66,2003-07-02 18:00:00
ATLN,200303L,-80.8,36.9,2003070221,20.0,0.0,1009.0,67,2003-07-02 21:00:00
ATLN,200303L,-79.5,37.3,2003070300,20.0,0.0,1009.0,68,2003-07-03 00:00:00
WPAC,200303W,130.7,7.5,2003051706,25.0,0.0,1002.0,6192,2003-05-17 06:00:00
WPAC,200303W,130.6,7.6,2003051709,25.0,0.0,1002.0,6193,2003-05-17 09:00:00
WPAC,200303W,130.3,7.8,2003051721,25.0,0.0,1002.0,6194,2003-05-17 21:00:00
WPAC,200303W,130.2,7.8,2003051800,25.0,0.0,1002.0,6195,2003-05-18 00:00:00
WPAC,200303W,130.1,7.8,2003051803,28.0,0.0,1001.0,6196,2003-05-18 03:00:00
WPAC,200303W,130.0,7.9,2003051806,30.0,0.0,1000.0,6197,2003-05-18 06:00:00
WPAC,200303W,130.0,8.0,2003051809,30.0,0.0,1000.0,6198,2003-05-18 09:00:00
WPAC,200303W,130.7,8.8,2003051821,30.0,0.0,1000.0,6199,2003-05-18 21:00:00
WPAC,200303W,130.9,9.1,2003051900,30.0,0.0,1000.0,6200,2003-05-19 00:00:00
WPAC,200303W,131.1,9.3,2003051903,30.0,0.0,1000.0,6201,2003-05-19 03:00:00
WPAC,200303W,131.2,9.6,2003051906,30.0,0.0,1000.0,6202,2003-05-19 06:00:00
WPAC,200303W,131.2,9.9,2003051909,30.0,0.0,1000.0,6203,2003-05-19 09:00:00
WPAC,200303W,131.1,11.2,2003051921,30.0,0.0,1000.0,6204,2003-05-19 21:00:00
WPAC,200303W,131.0,11.6,2003052000,30.0,0.0,1000.0,6205,2003-05-20 00:00:00
WPAC,200303W,130.9,12.1,2003052003,28.0,0.0,1001.0,6206,2003-05-20 03:00:00
WPAC,200303W,130.8,12.6,2003052006,25.0,0.0,1002.0,6207,2003-05-20 06:00:00
WPAC,200303W,130.6,13.1,2003052009,25.0,0.0,1002.0,6208,2003-05-20 09:00:00
EPAC,200304E,-117.5,15.1,2003070615,35.0,0.0,1006.0,3641,2003-07-06 15:00:00
EPAC,200304E,-117.9,15.5,2003070618,35.0,0.0,1006.0,3642,2003-07-06 18:00:00
EPAC,200304E,-118.3,15.8,2003070621,33.0,0.0,1006.0,3643,2003-07-06 21:00:00
